Label,Cancer code,Country code (ISO/UN),Alphaâ€‘3 code,Sex,ASR (World),Crude rate,Cumulative risk,Total
Africa,39,903,N.A.,0,74.59,47.95,,674516
Africa,39,903,N.A.,0,190.03,123.8,,1741551
Africa,39,903,N.A.,0,282.26,185.64,,2611478
Latin America and the Caribbean,39,904,N.A.,0,131.27,161.41,,1074127
Latin America and the Caribbean,39,904,N.A.,0,340.84,414.1,,2755606
Latin America and the Caribbean,39,904,N.A.,0,510.9,615.53,,4096032
Northern America,39,905,N.A.,0,312.86,595.19,,2221970
Northern America,39,905,N.A.,0,845.13,1566.4,,5847641
Northern America,39,905,N.A.,0,1299.2,2357.12,,8799565
Europe,39,908,N.A.,0,227.92,469.56,,3510137
Europe,39,908,N.A.,0,608.42,1218.13,,9106028
Europe,39,908,N.A.,0,932.17,1825.46,,13646087
Oceania,39,909,N.A.,0,350.71,519.64,,227368
Oceania,39,909,N.A.,0,953.7,1383.77,,605470
Oceania,39,909,N.A.,0,1475.13,2105.16,,921116
Asia,39,935,N.A.,0,108.33,137.68,,6399923
Asia,39,935,N.A.,0,271.7,341.71,,15883702
Asia,39,935,N.A.,0,403.38,504.06,,23429909